filename,AlarmDescription,AlarmDuration,Distance,StartTime,SubjectApproachType,SubjectDescription,SubjectOrientation
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:00,30,00:05:37,Crouch Walk,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:08,15,00:08:58,Crawl,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:00,10,00:12:12,Run,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:38,15,00:15:14,Creep walk,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:00:52,30,00:18:41,Run,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:00:53,15,00:21:32,Crouch Run,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:07,15,00:24:44,Walk,One Person,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:01:01,15,00:27:58,Walk,Two people,Perpendicular
SZTE/video/SZTEA101a.mov,Fence Attack,00:02:29,15,00:31:14,Creep walk,One Person,Diagonal
SZTE/video/SZTEA101a.mov,Fence Attack,00:00:31,10,00:35:51,Walk With Ladder,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:31,15,00:07:45,Creep walk,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:46,10,00:10:40,Creep walk,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:00:59,10,00:13:56,Run,One Person,Diagonal
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:05,15,00:16:17,Run,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:05,30,00:18:50,Crouch Run,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:06,10,00:21:12,Crouch Run,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:37,30,00:24:02,Walk,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:00:52,30,00:26:51,Walk,Two people,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:41,30,00:29:16,Creep walk,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:29,15,00:32:26,Body Drag,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:20,15,00:35:29,Walk,One Person,Diagonal
SZTE/video/SZTEA101b.mov,Fence Attack,00:00:58,10,00:38:29,Walk,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:11,10,00:41:47,Walk,Two people,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:01:05,30,00:45:54,Crawl,One Person,Perpendicular
SZTE/video/SZTEA101b.mov,Fence Attack,00:00:42,15,00:48:48,Walk With Ladder,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:01:08,10,00:05:01,Crouch Walk,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:57,15,00:08:01,Crouch Run,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:51,10,00:11:15,Walk,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:56,10,00:13:50,Walk,Two people,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:01:01,30,00:16:09,Crouch Walk,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:01:22,10,00:18:56,Crawl,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:01:21,30,00:21:18,Body Drag,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:54,30,00:23:50,Run,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:02:07,10,00:26:22,Creep walk,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:01:02,30,00:29:46,Log Roll,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:43,10,00:31:58,Run,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:50,10,00:34:05,Run,One Person,Perpendicular
SZTE/video/SZTEA102a.mov,Fence Attack,00:00:21,30,00:36:18,Walk With Ladder,One Person,Perpendicular
SZTE/video/SZTEA102b.mov,Fence Attack,00:01:12,15,00:05:08,Walk,One Person,Diagonal
SZTE/video/SZTEA102b.mov,Fence Attack,00:01:32,10,00:07:50,Creep walk,One Person,Perpendicular
