filename,distraction
SZTEA101a.mov,Camera switch from monochrome to colour
SZTEA101b.mov,Camera switch from colour to monochrome
SZTEA101b.mov,Bats
SZTEA102a.mov,Birds
SZTEA102b.mov,Vehicle
SZTEA104a.mov,Bats
SZTEA201b.mov,Bats
SZTEA204a.mov,Bats
SZTEN101a.mov,Bag
SZTEN101a.mov,Squirrel
SZTEN101b.mov,Rabbits
SZTEN101b.mov,Shadow through fence
SZTEN101c.mov,Rabbits
SZTEN101c.mov,Bats
SZTEN101c.mov,Camera switch from colour to monochrome
SZTEN101d.mov,Birds
SZTEN101d.mov,Rabbits
SZTEN102a.mov,Birds
SZTEN102b.mov,Birds
SZTEN102d.mov,Foxes
SZTEN102d.mov,Camera switch from colour to monochrome
SZTEN102d.mov,Rabbits
SZTEN201a.mov,Bag
SZTEN201b.mov,Shadow through fence
SZTEN201c.mov,Rabbits
SZTEN201d.mov,Birds
SZTEN201d.mov,Rabbits
SZTEN201d.mov,Foxes
SZTEN202a.mov,Birds
SZTEN202b.mov,Birds
SZTEN202c.mov,Birds
SZTEN202c.mov,Insect on camera
SZTEN202d.mov,Foxes
