format.filename,VideoPath,VideoLength,Datarate,AspectRatio,format.nb_streams,format.nb_programs,format.format_name,format.format_long_name,format.start_time,format.duration,format.size,format.bit_rate,format.probe_score,format.tags.creation_time,format.tags.premiere_version,format.tags.major_brand,format.tags.minor_version,format.tags.compatible_brands,format.tags.encoder,stream.index,stream.codec_name,stream.codec_long_name,stream.profile,stream.codec_type,stream.codec_tag_string,stream.codec_tag,stream.width,stream.height,stream.coded_width,stream.coded_height,stream.closed_captions,stream.film_grain,stream.has_b_frames,stream.sample_aspect_ratio,stream.display_aspect_ratio,stream.pix_fmt,stream.level,stream.color_range,stream.color_space,stream.chroma_location,stream.field_order,stream.refs,stream.id,stream.r_frame_rate,stream.avg_frame_rate,stream.time_base,stream.start_pts,stream.start_time,stream.duration_ts,stream.duration,stream.bit_rate,stream.bits_per_raw_sample,stream.nb_frames,stream.disposition.default,stream.disposition.dub,stream.disposition.original,stream.disposition.comment,stream.disposition.lyrics,stream.disposition.karaoke,stream.disposition.forced,stream.disposition.hearing_impaired,stream.disposition.visual_impaired,stream.disposition.clean_effects,stream.disposition.attached_pic,stream.disposition.timed_thumbnails,stream.disposition.captions,stream.disposition.descriptions,stream.disposition.metadata,stream.disposition.dependent,stream.disposition.still_image,stream.tags.creation_time,stream.tags.language,stream.tags.handler_name,stream.tags.vendor_id,stream.tags.encoder
SZTEN201d.mov,./video/SZTEN201d.mov,45000,29139,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,1800.0,5614842,24954,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,23040000,1800.000000,22553,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEN201e.mov,./video/SZTEN201e.mov,22500,41525,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,900.0,15270259,135735,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,11520000,900.000000,133449,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEN201b.mov,./video/SZTEN201b.mov,45000,28847,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,1800.0,4366255,19405,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,23040000,1800.000000,17004,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEA101a.mov,./video/SZTEA101a.mov,55789,54900,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,2231.56,59003997,211525,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,28563968,2231.560000,209122,8,55789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEA204a.mov,./video/SZTEA204a.mov,138313,26997,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,5532.52,21925493,31704,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,70816256,5532.520000,29305,8,138313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEN201c.mov,./video/SZTEN201c.mov,45000,30330,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,1800.0,4861921,21608,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,23040000,1800.000000,19207,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEN201a.mov,./video/SZTEN201a.mov,22500,26659,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,900.0,2083925,18523,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,11520000,900.000000,16118,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEA101b.mov,./video/SZTEA101b.mov,74656,34206,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,2986.24,40784314,109259,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,38223872,2986.240000,106858,8,74656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEN103b.mov,./video/SZTEN103b.mov,45000,32783,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,1800.0,11395425,50646,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,23040000,1800.000000,48244,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
SZTEA203a.mov,./video/SZTEA203a.mov,70765,27216,4:3,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.0,2830.6,8952093,25300,100,,,qt  ,512,qt  ,Lavf59.27.100,0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High 4:2:2,video,avc1,0x31637661,280,224,280,224,0,0,2,15:16,75:64,yuvj422p,13,pc,bt470bg,left,progressive,1,0x1,25/1,25/1,1/12800,0,0.000000,36231680,2830.600000,22901,8,70765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eng,Apple Video Media Handler,FFMP,Lavc59.37.100 libx264
