filename,AlarmDescription,AlarmDuration,Distance,StartTime,SubjectApproachType,SubjectDescription,SubjectOrientation
SZTRA101a01.mov,Fence Attack,00:00:59,15,00:08:50,Walk,One person,Perpendicular
SZTRA101a02.mov,Fence Attack,00:01:10,15,00:01:38,Walk,Two People,Perpendicular
SZTRA101a03.mov,Fence Attack,00:01:17,30,00:01:25,Creep Walk,One person,Perpendicular
SZTRA101a04.mov,Fence Attack,00:01:13,30,00:00:18,Crouch Walk,One person,Perpendicular
SZTRA101a05.mov,Fence Attack,00:01:02,10,00:00:07,Crouch Walk,One person,Perpendicular
SZTRA101a06.mov,Fence Attack,00:01:15,15,00:00:03,Crawl,One person,
SZTRA101a07.mov,Fence Attack,00:01:17,10,00:00:19,Crawl,One person,Perpendicular
SZTRA101a08.mov,Fence Attack,00:00:58,10,00:00:04,Log Roll,One person,Perpendicular
SZTRA101a09.mov,Fence Attack,00:00:47,10,00:00:01,Run,One person,Diagonal
SZTRA101a10.mov,Fence Attack,00:01:04,15,00:00:15,Run,One person,Perpendicular
SZTRA101a11.mov,Fence Attack,00:01:18,15,00:00:16,Walk,One person,Diagonal
SZTRA101a12.mov,Fence Attack,00:01:08,10,00:00:21,Walk,One person,Perpendicular
SZTRA101a13.mov,Fence Attack,00:01:07,10,00:00:25,Walk,Two People,Perpendicular
SZTRA101a14.mov,Fence Attack,00:01:28,10,00:00:09,Creep Walk,One person,Perpendicular
SZTRA101a15.mov,Fence Attack,00:01:19,30,00:00:15,Crouch Walk,One person,Diagonal
SZTRA101a16.mov,Fence Attack,00:01:25,30,00:00:20,Body Drag,One person,Perpendicular
SZTRA101a17.mov,Fence Attack,00:01:16,15,00:00:10,Body Drag,One person,Perpendicular
SZTRA101a18.mov,Fence Attack,00:01:18,10,00:00:12,Body Drag,One person,Perpendicular
SZTRA101a19.mov,Fence Attack,00:01:00,30,00:00:06,Run,One person,Perpendicular
SZTRA101a20.mov,Fence Attack,00:01:08,30,00:00:03,Crouch Run,One person,Perpendicular
SZTRA101a21.mov,Fence Attack,00:01:06,10,00:00:06,Crouch Run,One person,Perpendicular
SZTRA101a22.mov,Fence Attack,00:00:55,30,00:01:11,Walk,One person,Perpendicular
SZTRA101a23.mov,Fence Attack,00:00:49,30,00:01:10,Walk,Two People,Perpendicular
SZTRA101a24.mov,Fence Attack,00:01:22,15,00:01:14,Creep Walk,One person,Diagonal
SZTRA101a25.mov,Fence Attack,00:01:39,15,00:01:14,Creep Walk,One person,Perpendicular
SZTRA101a26.mov,Fence Attack,00:01:01,15,00:01:18,Crouch Walk,One person,Perpendicular
SZTRA101a27.mov,Fence Attack,00:01:09,30,00:00:34,Crawl,One person,Perpendicular
SZTRA101a28.mov,Fence Attack,00:01:07,30,00:00:58,Log Roll,One person,Perpendicular
SZTRA101a29.mov,Fence Attack,00:00:53,10,00:01:13,Run,One person,Perpendicular
SZTRA101a30.mov,Fence Attack,00:00:54,15,00:00:54,Crouch Run,One person,Perpendicular
SZTRA101a31.mov,Fence Attack,00:00:36,15,00:01:17,Walk With Ladder,One person,Perpendicular
SZTRA102a01.mov,Fence Attack,00:01:06,15,00:05:36,Walk,One person,Perpendicular
SZTRA102a02.mov,Fence Attack,00:00:52,15,00:01:50,Walk,Two People,Perpendicular
SZTRA102a03.mov,Fence Attack,00:01:13,30,00:00:11,Crouch Walk,One person,Perpendicular
SZTRA102a04.mov,Fence Attack,00:00:59,15,00:00:09,Crawl,One person,Perpendicular
SZTRA102a05.mov,Fence Attack,00:01:34,15,00:00:20,Creep Walk,One person,Perpendicular
SZTRA102a06.mov,Fence Attack,00:00:51,10,00:00:54,Run,One person,Perpendicular
SZTRA102a07.mov,Fence Attack,00:00:52,15,00:00:02,Run,One person,Perpendicular
SZTRA102a08.mov,Fence Attack,00:02:04,10,00:00:17,Creep Walk,One person,Diagonal
SZTRA102a09.mov,Fence Attack,00:00:45,30,00:00:09,Run,One person,Perpendicular
SZTRA102a10.mov,Fence Attack,00:00:46,10,00:00:12,Walk With Ladder,One person,Perpendicular
SZTRA102b01.mov,Fence Attack,00:01:05,10,00:04:58,Walk,One person,Perpendicular
SZTRA102b02.mov,Fence Attack,00:01:01,10,00:00:17,Walk,Two People,Perpendicular
SZTRA102b03.mov,Fence Attack,00:00:49,10,00:00:14,Crouch Walk,One person,Perpendicular
SZTRA102b04.mov,Fence Attack,00:00:49,30,00:00:22,Run,One person,Perpendicular
SZTRA102b05.mov,Fence Attack,00:01:01,15,00:00:06,Crouch Run,One person,Perpendicular
SZTRA102b06.mov,Fence Attack,00:00:52,30,00:00:02,Crouch Walk,One person,Perpendicular
SZTRA102b07.mov,Fence Attack,00:01:04,10,00:00:49,Crawl,One person,Perpendicular
SZTRA102b08.mov,Fence Attack,00:01:28,30,00:00:07,Body Drag,One person,Perpendicular
SZTRA102b09.mov,Fence Attack,00:00:45,10,00:00:06,Run,One person,Perpendicular
SZTRA102b10.mov,Fence Attack,00:02:08,30,00:00:09,Creep Walk,One person,Diagonal
SZTRA102b11.mov,Fence Attack,00:00:52,30,00:00:12,Log Roll,One person,Perpendicular
SZTRA102b12.mov,Fence Attack,00:00:49,10,00:00:11,Crouch Run,One person,Perpendicular
SZTRA102b13.mov,Fence Attack,00:00:19,30,00:00:20,Walk With Ladder,One person,Perpendicular
SZTRA103a01.mov,Fence Attack,00:00:55,15,00:05:19,Walk,One person,Perpendicular
SZTRA103a02.mov,Fence Attack,00:01:07,15,00:00:07,Walk,Two People,Perpendicular
SZTRA103a03.mov,Fence Attack,00:01:09,15,00:00:12,Creep Walk,One person,Perpendicular
SZTRA103a04.mov,Fence Attack,00:01:12,15,00:00:03,Run,One person,Perpendicular
SZTRA103a05.mov,Fence Attack,00:01:00,30,00:00:07,Walk,One person,Perpendicular
SZTRA103a06.mov,Fence Attack,00:00:57,30,00:00:04,Walk,Two People,Perpendicular
SZTRA103a07.mov,Fence Attack,00:01:44,10,00:00:11,Creep Walk,One person,Perpendicular
SZTRA103a08.mov,Fence Attack,00:01:27,15,00:00:04,Body Drag,One person,Perpendicular
SZTRA103a09.mov,Fence Attack,00:00:49,10,00:00:15,Run,One person,Perpendicular
SZTRA103a10.mov,Fence Attack,00:00:59,30,00:00:03,Crouch Run,One person,Perpendicular
SZTRA103a11.mov,Fence Attack,00:01:06,15,00:00:14,Walk,One person,Diagonal
SZTRA103a12.mov,Fence Attack,00:00:48,30,00:00:07,Crouch Walk,One person,Diagonal
SZTRA103a13.mov,Fence Attack,00:01:06,30,00:00:05,Crawl,One person,Perpendicular
SZTRA103a14.mov,Fence Attack,00:01:11,10,00:00:02,Crawl,One person,Perpendicular
SZTRA103a15.mov,Fence Attack,00:00:59,10,00:00:06,Log Roll,One person,Perpendicular
SZTRA103a16.mov,Fence Attack,00:01:00,30,00:00:07,Run,One person,Perpendicular
SZTRA103a17.mov,Fence Attack,00:00:27,10,00:00:09,Walk With Ladder,One person,Perpendicular
SZTRA103b01.mov,Fence Attack,00:01:00,15,00:06:13,Walk,One person,Perpendicular
SZTRA103b02.mov,Fence Attack,00:01:04,15,00:00:12,Walk,Two People,Perpendicular
SZTRA103b03.mov,Fence Attack,00:02:00,10,00:00:11,Creep Walk,One person,Perpendicular
SZTRA103b04.mov,Fence Attack,00:00:57,10,00:00:15,Run,One person,Diagonal
SZTRA103b05.mov,Fence Attack,00:01:00,15,00:02:01,Run,One person,Perpendicular
SZTRA103b06.mov,Fence Attack,00:01:05,30,00:00:13,Crouch Run,One person,Perpendicular
SZTRA103b07.mov,Fence Attack,00:01:05,30,00:00:09,Walk,One person,Diagonal
SZTRA103b08.mov,Fence Attack,00:00:43,30,00:00:05,Run,One person,Perpendicular
SZTRA103b09.mov,Fence Attack,00:01:06,30,00:00:09,Walk,One person,Perpendicular
SZTRA103b10.mov,Fence Attack,00:00:52,30,00:00:19,Walk,Two People,Perpendicular
SZTRA103b11.mov,Fence Attack,00:02:00,30,00:00:22,Creep Walk,One person,Perpendicular
SZTRA103b12.mov,Fence Attack,00:01:02,30,00:00:10,Crouch Walk,One person,Diagonal
SZTRA103b13.mov,Fence Attack,00:01:06,15,00:00:16,Crawl,One person,Perpendicular
SZTRA103b14.mov,Fence Attack,00:01:18,10,00:00:15,Body Drag,One person,Perpendicular
SZTRA103b15.mov,Fence Attack,00:01:05,10,00:00:09,Run,One person,Perpendicular
SZTRA103b16.mov,Fence Attack,00:00:52,10,00:00:06,Crouch Run,One person,Perpendicular
SZTRA103b17.mov,Fence Attack,00:00:32,10,00:00:12,Walk With Ladder,One person,Perpendicular
SZTRA104a01.mov,Fence Attack,00:01:25,30,00:05:14,Creep Walk,One person,Perpendicular
SZTRA104a02.mov,Fence Attack,00:01:10,15,00:00:17,Body Drag,One person,Perpendicular
SZTRA104a03.mov,Fence Attack,00:01:00,30,00:00:04,Run,One person,Diagonal
SZTRA104a04.mov,Fence Attack,00:01:00,15,00:00:07,Run,One person,Perpendicular
SZTRA104a05.mov,Fence Attack,00:00:57,10,00:00:09,Walk,One person,Diagonal
SZTRA104a06.mov,Fence Attack,00:01:05,10,00:00:46,Walk,One person,Perpendicular
SZTRA104a07.mov,Fence Attack,00:01:05,10,00:00:10,Walk,Two People,Perpendicular
SZTRA104a08.mov,Fence Attack,00:01:41,15,00:00:18,Creep Walk,One person,Perpendicular
SZTRA104a09.mov,Fence Attack,00:01:47,10,00:00:29,Creep Walk,One person,Perpendicular
SZTRA104a10.mov,Fence Attack,00:01:04,30,00:00:11,Crouch Run,One person,Perpendicular
SZTRA104a11.mov,Fence Attack,00:01:09,10,00:00:06,Crouch Run,One person,Perpendicular
SZTRA104a12.mov,Fence Attack,00:01:02,30,00:00:08,Walk,One person,Perpendicular
SZTRA104a13.mov,,00:00:58,30,00:00:28,Walk,Two People,Perpendicular
SZTRA104a14.mov,Fence Attack,00:01:02,30,00:00:13,Crawl,One person,Perpendicular
SZTRA104a15.mov,Fence Attack,00:00:38,15,00:00:25,Walk With Ladder,One person,Perpendicular
SZTRA104b01.mov,Fence Attack,00:01:06,30,00:09:03,Creep Walk,One person,Perpendicular
SZTRA104b02.mov,Fence Attack,00:01:15,15,00:01:10,Crawl,One person,Perpendicular
SZTRA104b03.mov,Fence Attack,00:00:54,10,00:00:39,Run,One person,Diagonal
SZTRA104b04.mov,Fence Attack,00:00:59,10,00:00:47,Walk,One person,Perpendicular
SZTRA104b05.mov,Fence Attack,00:00:54,10,00:00:36,Walk,Two People,Perpendicular
SZTRA104b06.mov,Fence Attack,00:00:56,30,00:00:10,Crouch Walk,One person,Perpendicular
SZTRA104b07.mov,Fence Attack,00:01:02,30,00:00:19,Crawl,One person,Perpendicular
SZTRA104b08.mov,Fence Attack,00:00:57,10,00:00:19,Run,One person,Perpendicular
SZTRA104b09.mov,Fence Attack,00:01:06,15,00:00:22,Crouch Run,One person,Perpendicular
SZTRA104b10.mov,Fence Attack,00:00:22,15,00:01:22,Walk With Ladder,One person,Perpendicular
SZTRA201a01.mov,Fence Attack,00:00:59,15,00:08:50,Walk,One person,Perpendicular
SZTRA201a02.mov,Fence Attack,00:01:09,15,00:01:38,Walk,Two People,Perpendicular
SZTRA201a03.mov,Fence Attack,00:01:24,10,00:01:17,Creep Walk,One person,Perpendicular
SZTRA201a04.mov,Fence Attack,00:01:15,10,00:00:16,Crouch Walk,One person,Perpendicular
