filename,AlarmEvents,Duration,Stage,Weather.Clouds,Weather.Fog,Weather.Rain,Weather.Snow,Weather.TimeOfDay
SZTEA101a.qtl,10,00:37:11,1,None,False,False,False,Dawn
SZTEA101b.qtl,15,00:49:46,1,Overcast,False,False,False,Dusk
SZTEA102a.qtl,13,00:36:39,1,None,False,False,False,Day
SZTEA102b.qtl,17,00:45:56,1,Overcast,False,False,False,Day
SZTEA103a.qtl,17,00:47:14,1,Some,False,False,False,Day
SZTEA104a.qtl,31,01:32:18,1,,False,False,False,Night
SZTEA105a.qtl,10,00:35:28,1,Overcast,False,False,True,Day
SZTEA201a.qtl,10,00:37:11,2,None,False,False,False,Dawn
SZTEA201b.qtl,15,00:49:46,2,Overcast,False,False,False,Dusk
SZTEA202a.qtl,13,00:36:37,2,None,False,False,False,Day
SZTEA202b.qtl,17,00:45:38,2,Some,False,False,False,Day
SZTEA203a.qtl,17,00:47:10,2,Some,False,False,False,Day
SZTEA204a.qtl,31,01:32:12,2,,False,False,False,Night
SZTEN101a.qtl,0,00:15:00,1,Overcast,False,False,False,Day
SZTEN101b.qtl,0,00:30:00,1,None,False,False,False,Day
SZTEN101c.qtl,0,00:30:00,1,None,False,False,False,Dusk
SZTEN101d.qtl,0,00:30:00,1,None,False,False,False,Dawn
SZTEN102a.qtl,0,00:45:00,1,Some,False,False,False,Day
SZTEN102b.qtl,0,00:30:00,1,Overcast,False,True,False,Day
SZTEN102c.qtl,0,00:30:00,1,Overcast,False,False,True,Day
SZTEN102d.qtl,0,00:15:00,1,Overcast,False,False,False,Dusk
SZTEN103a.qtl,0,00:40:00,1,,False,False,False,Night
SZTEN103b.qtl,0,00:30:00,1,Overcast,False,False,False,Day
SZTEN201a.qtl,0,00:15:00,2,Overcast,False,False,False,Day
SZTEN201b.qtl,0,00:30:00,2,None,False,False,False,Day
SZTEN201c.qtl,0,00:30:00,2,None,False,False,False,Dusk
SZTEN201d.qtl,0,00:30:00,2,None,False,False,False,Dawn
SZTEN201e.qtl,0,00:15:00,2,,False,False,False,Night
SZTEN202a.qtl,0,00:45:00,2,Some,False,False,False,Day
SZTEN202b.qtl,0,00:30:00,2,Overcast,False,True,False,Day
SZTEN202c.qtl,0,00:20:00,2,Overcast,False,False,True,Day
SZTEN202d.qtl,0,00:25:00,2,,False,False,False,Night
SZTEN203a.qtl,0,00:40:00,2,,False,False,False,Night
