filename,distraction
SZTEA101a.qtl,Camera switch from monochrome to colour
SZTEA101b.qtl,Camera switch from colour to monochrome
SZTEA101b.qtl,Bats
SZTEA102a.qtl,Birds
SZTEA102b.qtl,Vehicle
SZTEA104a.qtl,Bats
SZTEA201b.qtl,Bats
SZTEA204a.qtl,Bats
SZTEN101a.qtl,Bag
SZTEN101a.qtl,Squirrel
SZTEN101b.qtl,Rabbits
SZTEN101b.qtl,Shadow through fence
SZTEN101c.qtl,Rabbits
SZTEN101c.qtl,Bats
SZTEN101c.qtl,Camera switch from colour to monochrome
SZTEN101d.qtl,Birds
SZTEN101d.qtl,Rabbits
SZTEN102a.qtl,Birds
SZTEN102b.qtl,Birds
SZTEN102d.qtl,Foxes
SZTEN102d.qtl,Camera switch from colour to monochrome
SZTEN102d.qtl,Rabbits
SZTEN201a.qtl,Bag
SZTEN201b.qtl,Shadow through fence
SZTEN201c.qtl,Rabbits
SZTEN201d.qtl,Birds
SZTEN201d.qtl,Rabbits
SZTEN201d.qtl,Foxes
SZTEN202a.qtl,Birds
SZTEN202b.qtl,Birds
SZTEN202c.qtl,Birds
SZTEN202c.qtl,Insect on camera
SZTEN202d.qtl,Foxes
