filename,AlarmEvents,Duration,Stage,Weather.Clouds,Weather.Fog,Weather.Rain,Weather.Snow,Weather.TimeOfDay
SZTEA101a.mov,10,00:37:11,1,None,False,False,False,Dawn
SZTEA101b.mov,15,00:49:46,1,Overcast,False,False,False,Dusk
SZTEA102a.mov,13,00:36:39,1,None,False,False,False,Day
SZTEA102b.mov,17,00:45:56,1,Overcast,False,False,False,Day
SZTEA103a.mov,17,00:47:14,1,Some,False,False,False,Day
SZTEA104a.mov,31,01:32:18,1,,False,False,False,Night
SZTEA105a.mov,10,00:35:28,1,Overcast,False,False,True,Day
SZTEA201a.mov,10,00:37:11,2,None,False,False,False,Dawn
SZTEA201b.mov,15,00:49:46,2,Overcast,False,False,False,Dusk
SZTEA202a.mov,13,00:36:37,2,None,False,False,False,Day
SZTEA202b.mov,17,00:45:38,2,Some,False,False,False,Day
SZTEA203a.mov,17,00:47:10,2,Some,False,False,False,Day
SZTEA204a.mov,31,01:32:12,2,,False,False,False,Night
SZTEN101a.mov,0,00:15:00,1,Overcast,False,False,False,Day
SZTEN101b.mov,0,00:30:00,1,None,False,False,False,Day
SZTEN101c.mov,0,00:30:00,1,None,False,False,False,Dusk
SZTEN101d.mov,0,00:30:00,1,None,False,False,False,Dawn
SZTEN102a.mov,0,00:45:00,1,Some,False,False,False,Day
SZTEN102b.mov,0,00:30:00,1,Overcast,False,True,False,Day
SZTEN102c.mov,0,00:30:00,1,Overcast,False,False,True,Day
SZTEN102d.mov,0,00:15:00,1,Overcast,False,False,False,Dusk
SZTEN103a.mov,0,00:40:00,1,,False,False,False,Night
SZTEN103b.mov,0,00:30:00,1,Overcast,False,False,False,Day
SZTEN201a.mov,0,00:15:00,2,Overcast,False,False,False,Day
SZTEN201b.mov,0,00:30:00,2,None,False,False,False,Day
SZTEN201c.mov,0,00:30:00,2,None,False,False,False,Dusk
SZTEN201d.mov,0,00:30:00,2,None,False,False,False,Dawn
SZTEN201e.mov,0,00:15:00,2,,False,False,False,Night
SZTEN202a.mov,0,00:45:00,2,Some,False,False,False,Day
SZTEN202b.mov,0,00:30:00,2,Overcast,False,True,False,Day
SZTEN202c.mov,0,00:20:00,2,Overcast,False,False,True,Day
SZTEN202d.mov,0,00:25:00,2,,False,False,False,Night
SZTEN203a.mov,0,00:40:00,2,,False,False,False,Night
