filename,distractions
SZTEA101a.mov,Camera switch from monochrome to colour
SZTEA101b.mov,"Camera switch from colour to monochrome,Bats"
SZTEA102a.mov,Birds
SZTEA102b.mov,Vehicle
SZTEA104a.mov,Bats
SZTEA201b.mov,Bats
SZTEA204a.mov,Bats
SZTEN101a.mov,"Bag,Squirrel"
SZTEN101b.mov,"Rabbits,Shadow through fence"
SZTEN101c.mov,"Rabbits,Bats,Camera switch from colour to monochrome"
SZTEN101d.mov,"Birds,Rabbits"
SZTEN102a.mov,Birds
SZTEN102b.mov,Birds
SZTEN102d.mov,"Foxes,Camera switch from colour to monochrome,Rabbits"
SZTEN201a.mov,Bag
SZTEN201b.mov,Shadow through fence
SZTEN201c.mov,Rabbits
SZTEN201d.mov,"Birds,Rabbits,Foxes"
SZTEN202a.mov,Birds
SZTEN202b.mov,Birds
SZTEN202c.mov,"Birds,Insect on camera"
SZTEN202d.mov,Foxes
