Name,VideoPath,VideoLength,Datarate,AspectRatio,format.filename,format.nb_streams,format.nb_programs,format.format_name,format.format_long_name,format.start_time,format.duration,format.size,format.bit_rate,format.probe_score,format.tags.creation_time,format.tags.premiere_version,stream.index,stream.codec_name,stream.codec_long_name,stream.profile,stream.codec_type,stream.codec_tag_string,stream.codec_tag,stream.width,stream.height,stream.coded_width,stream.coded_height,stream.closed_captions,stream.film_grain,stream.has_b_frames,stream.sample_aspect_ratio,stream.display_aspect_ratio,stream.pix_fmt,stream.level,stream.color_range,stream.color_space,stream.chroma_location,stream.field_order,stream.refs,stream.id,stream.r_frame_rate,stream.avg_frame_rate,stream.time_base,stream.start_pts,stream.start_time,stream.duration_ts,stream.duration,stream.bit_rate,stream.bits_per_raw_sample,stream.nb_frames,stream.disposition.default,stream.disposition.dub,stream.disposition.original,stream.disposition.comment,stream.disposition.lyrics,stream.disposition.karaoke,stream.disposition.forced,stream.disposition.hearing_impaired,stream.disposition.visual_impaired,stream.disposition.clean_effects,stream.disposition.attached_pic,stream.disposition.timed_thumbnails,stream.disposition.captions,stream.disposition.descriptions,stream.disposition.metadata,stream.disposition.dependent,stream.disposition.still_image,stream.tags.creation_time,stream.tags.language,stream.tags.handler_name,stream.tags.vendor_id,stream.tags.encoder
SZTEN201d,./video/SZTEN201d.mov,45000,29139,4:3,SZTEN201d.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,6279587110,27909276,100,2005-12-15T14:02:12.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,27899657,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-15T14:02:12.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN201e,./video/SZTEN201e.mov,22500,41525,4:3,SZTEN201e.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,900.000000,4790607670,42583179,100,2006-05-23T14:01:33.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,22500,900.000000,42573542,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-23T14:01:33.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN201b,./video/SZTEN201b.mov,45000,28847,4:3,SZTEN201b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,6632899078,29479551,100,2005-12-09T12:59:42.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,29469933,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-09T12:59:42.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA101a,./video/SZTEA101a.mov,55789,54900,4:3,SZTEA101a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2231.560000,14605606929,52360167,100,2005-11-08T01:11:19.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,55789,2231.560000,52358795,8,55789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08T01:11:19.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA204a,./video/SZTEA204a.mov,138313,26997,4:3,SZTEA204a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,5532.520000,19532330934,28243666,100,2005-11-04T02:57:56.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,138313,5532.520000,28234060,8,138313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-04T02:57:56.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN201c,./video/SZTEN201c.mov,45000,30330,4:3,SZTEN201c.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,6297246998,27987764,100,2005-12-13T12:22:17.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,27978145,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-13T12:22:17.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN201a,./video/SZTEN201a.mov,22500,26659,4:3,SZTEN201a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,900.000000,3007251014,26731120,100,2005-12-05T09:26:25.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,22500,900.000000,26724683,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-05T09:26:26.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA101b,./video/SZTEA101b.mov,74656,34206,4:3,SZTEA101b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2986.240000,15163913029,40623427,100,2005-11-07T23:35:34.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,74656,2986.240000,40622052,8,74656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-07T23:35:34.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN103b,./video/SZTEN103b.mov,45000,32783,4:3,SZTEN103b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,7524978582,33444349,100,2006-06-06T11:44:29.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,33434730,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-06-06T11:44:29.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA203a,./video/SZTEA203a.mov,70765,27216,4:3,SZTEA203a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2830.600000,10185628902,28787193,100,2005-11-02T04:41:45.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,70765,2830.600000,28777582,8,70765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-02T04:41:45.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
