class,score,model_name
twiddling fingers,0.11538461538461539,movineta2
waving hand,0.07692337879073491,movineta2
stretching arm,0.04691284364346652,movineta2
riding unicycle,0.03918209299445152,movineta2
whistling,0.03846842920756899,movineta2
shaking hands,0.038461538461538464,movineta2
chewing gum,0.038461538461538464,movineta2
photobombing,0.038461538461538464,movineta2
playing harp,0.038461538461538464,movineta2
pumping fist,0.038461538461538464,movineta2
hugging (not baby),0.038461538461538464,movineta2
headbutting,0.038461538461538464,movineta2
beatboxing,0.038461538461538464,movineta2
reading book,0.03846152012164776,movineta2
situp,0.0384536454310784,movineta2


